Y,X,City_Name,Date,Name,Confirmed,Deaths,Recovered,Active,Tested
28.4075034088392,45.9925409747685,Hafar Al Batin,2020-04-27,حفر الباطن,18,0,1,17,0
24.1024108677268,38.0636989758493,Yanbu,2020-05-01,ينبع,71,0,2,69,0
25.3773876968636,49.7232077379792,Al Jafr,2020-04-23,الجفر,3,0,0,3,0
21.2688437831374,40.4174375191435,Ta'if,2020-03-29,الطائف,25,0,0,25,0
18.2199959996445,42.5079993636292,Abha,2020-04-02,أبها,13,0,0,13,0
24.8682376146568,40.512039836536,Al Hanakia,2020-04-29,الحناكية,3,0,0,3,0
28.4251523841036,48.4965519796126,Khafji,2020-04-24,الخفجي,15,0,8,7,0
24.7356429287764,46.7464850379502,Riyadh,2020-04-07,الرياض,878,3,234,641,0
18.2199959996445,42.5079993636292,Abha,2020-03-18,أبها,1,0,0,1,0
26.705493847974,50.061401784967,Ras Tanura,2020-04-23,راس تنورة,17,0,6,11,0
25.8700900002396,43.4998300000542,Ar Rass,2020-04-03,الرس,4,0,0,4,0
24.5149700000182,44.4206499999441,Al Duwadimi,2020-04-19,الدوادمي,1,0,0,1,0
28.4251523841036,48.4965519796126,Khafji,2020-04-20,الخفجي,15,0,0,15,0
25.0370337438259,37.261702839649,Umluj,2020-05-02,أملج,1,0,0,1,0
24.7550311305376,46.5650673512892,Diriyah,2020-04-24,الدرعية,9,0,0,9,0
31.3282860346399,37.3491468140207,Qurayyat,2020-04-27,القريات,8,0,2,6,0
27.4730117103643,48.477468158937,Nairyah,2020-04-28,النعيرية,1,0,1,0,0
26.3416692946825,43.9682662615606,Buraydah,2020-05-03,بريدة,192,1,32,159,0
19.4466148139841,41.8322742838254,Thurayban,2020-05-02,ثريبان,7,0,0,7,0
26.705493847974,50.061401784967,Ras Tanura,2020-04-12,راس تنورة,8,0,0,8,0
26.5668611306951,50.0089672323257,Qatif,2020-04-17,القطيف,198,1,76,121,0
25.8284100002954,42.19926999957,Uqlat as Suqur,2020-04-29,عقلة الصقور,1,0,1,0,0
18.2199959996445,42.5079993636292,Abha,2020-03-31,أبها,11,0,0,11,0
20.742170000258,40.8445700002675,Maisan,2020-04-25,ميسان,2,0,0,2,0
25.3773876968636,49.7232077379792,Al Jafr,2020-04-30,الجفر,11,0,3,8,0
16.5838299999653,42.9158100001718,Samtah,2020-04-20,صامطة,8,0,0,8,0
19.5630000379716,41.964730320005,Sabt Al Alayah,2020-04-22,سبت العلايه,5,0,0,5,0
24.8682376146568,40.512039836536,Al Hanakia,2020-04-14,الحناكية,2,0,0,2,0
27.5264645231855,41.7015071693133,Ha'il,2020-04-16,حائل,1,0,0,1,0
25.9155140384438,45.3763595557627,Al Majmaah,2020-04-22,المجمعة,1,0,0,1,0
18.1699700001096,42.8362900002426,Ahad Rafidah,2020-04-11,أحد رفيدة,3,0,0,3,0
26.0936622699662,43.9892399219984,Unayzah,2020-04-22,عنيزة,22,0,0,22,0
19.5630000379716,41.964730320005,Sabt Al Alayah,2020-04-29,سبت العلايه,5,0,0,5,0
21.4273800000385,39.8148393638521,Mecca,2020-04-28,مكة المكرمة,5160,65,518,4577,0
30.492509999702,38.2132300003032,Tabarjal,2020-04-28,طبرجل,1,0,0,1,0
16.8976017066587,42.5468540338148,Jazan,2020-04-04,جازان,10,0,13,-3,0
20.1475200001593,40.2679500000988,Al Lith,2020-04-21,الليث,2,0,0,2,0
16.8976017066587,42.5468540338148,Jazan,2020-04-15,جازان,20,0,13,7,0
23.4927299996761,46.8812599995772,Howtat Bani Tamim,2020-04-30,حوطة بني تميم,1,0,0,1,0
20.0171268103963,42.6130504855546,Bisha,2020-04-24,بيشة,54,0,15,39,0
20.0171268103963,42.6130504855546,Bisha,2020-04-11,بيشة,16,0,12,4,0
26.4085806676508,50.1169950665738,Dammam,2020-03-21,الدمام,39,0,3,36,0
26.5668611306951,50.0089672323257,Qatif,2020-05-05,القطيف,251,1,212,38,0
24.1024108677268,38.0636989758493,Yanbu,2020-04-12,ينبع,21,0,0,21,0
26.4085806676508,50.1169950665738,Dammam,2020-03-17,الدمام,12,0,1,11,0
26.3112826643086,50.1173385302361,Dhahran,2020-05-03,الظهران,126,0,38,88,0
20.0132180261774,41.4700390749447,Al Bahah,2020-05-05,الباحة,45,0,27,18,0
